true,pred,key
[0. 0.],-1.0120312,/euler/indrah/facerisk/wiki_imdb/wiki_crop/55/12428755_1982-12-09_2012.jpg
[0. 0.],-0.6710115,/euler/indrah/facerisk/wiki_imdb/wiki_crop/57/25202957_1990-11-13_2015.jpg
[0. 0.],0.80790067,/euler/indrah/facerisk/wiki_imdb/wiki_crop/49/544849_1922-12-05_2008.jpg
[0. 0.],-0.4780027,/euler/indrah/facerisk/wiki_imdb/wiki_crop/26/13079926_1957-09-05_1980.jpg
[0. 0.],0.024039982,/euler/indrah/facerisk/wiki_imdb/wiki_crop/07/15599007_1922-05-15_2007.jpg
[0. 0.],-0.54442483,/euler/indrah/facerisk/wiki_imdb/wiki_crop/81/6877181_1924-09-06_1953.jpg
[0. 0.],-2.18113,/euler/indrah/facerisk/wiki_imdb/wiki_crop/33/1081233_1973-09-13_2011.jpg
[0. 0.],-2.6719718,/euler/indrah/facerisk/wiki_imdb/wiki_crop/32/2286032_1984-10-02_2013.jpg
[0. 0.],-3.4843628,/euler/indrah/facerisk/wiki_imdb/wiki_crop/39/884939_1973-06-09_2010.jpg
[0. 0.],-3.5301573,/euler/indrah/facerisk/wiki_imdb/wiki_crop/27/36271827_1991-01-11_2013.jpg
[0. 0.],-0.37846693,/euler/indrah/facerisk/wiki_imdb/wiki_crop/28/8521528_1984-11-04_2009.jpg
[0. 0.],-0.3930827,/euler/indrah/facerisk/wiki_imdb/wiki_crop/75/746475_1944-07-31_2014.jpg
[0. 0.],-0.07917026,/euler/indrah/facerisk/wiki_imdb/wiki_crop/95/6871595_1978-04-21_2009.jpg
[0. 0.],-0.10790055,/euler/indrah/facerisk/wiki_imdb/wiki_crop/40/33925040_1934-12-25_1981.jpg
[0. 0.],-0.89589703,/euler/indrah/facerisk/wiki_imdb/wiki_crop/99/1181499_1938-01-13_2009.jpg
[0. 0.],-0.09598288,/euler/indrah/facerisk/wiki_imdb/wiki_crop/66/11189666_1885-09-20_1946.jpg
[0. 0.],-1.7720952,/euler/indrah/facerisk/wiki_imdb/wiki_crop/37/4537_1913-11-02_1947.jpg
[0. 0.],-0.9781006,/euler/indrah/facerisk/wiki_imdb/wiki_crop/02/204702_1945-10-19_1980.jpg
[0. 0.],-0.40887943,/euler/indrah/facerisk/wiki_imdb/wiki_crop/15/2836315_1914-07-14_1965.jpg
[0. 0.],-2.5356476,/euler/indrah/facerisk/wiki_imdb/wiki_crop/72/36549872_1953-04-23_2011.jpg
[0. 0.],-3.5564523,/euler/indrah/facerisk/wiki_imdb/wiki_crop/64/18438164_1982-08-25_2008.jpg
[0. 0.],0.010056218,/euler/indrah/facerisk/wiki_imdb/wiki_crop/66/47055766_1947-01-17_1964.jpg
[0. 0.],-2.001852,/euler/indrah/facerisk/wiki_imdb/wiki_crop/78/5157078_1938-11-21_1973.jpg
[0. 0.],0.22931738,/euler/indrah/facerisk/wiki_imdb/wiki_crop/84/477184_1927-01-01_1988.jpg
[0. 0.],-1.2327163,/euler/indrah/facerisk/wiki_imdb/wiki_crop/16/176916_1901-02-20_1951.jpg
[0. 0.],-0.28244528,/euler/indrah/facerisk/wiki_imdb/wiki_crop/90/2327190_1949-09-23_2010.jpg
[0. 0.],-1.1994467,/euler/indrah/facerisk/wiki_imdb/wiki_crop/90/1369690_1979-02-10_2014.jpg
[0. 0.],-1.2363287,/euler/indrah/facerisk/wiki_imdb/wiki_crop/93/614393_1920-09-18_1950.jpg
[0. 0.],-0.4890946,/euler/indrah/facerisk/wiki_imdb/wiki_crop/88/13213388_1987-03-19_2011.jpg
[0. 0.],-3.090656,/euler/indrah/facerisk/wiki_imdb/wiki_crop/96/33907196_1995-03-13_2012.jpg
[0. 0.],0.21928161,/euler/indrah/facerisk/wiki_imdb/wiki_crop/16/28868716_1917-08-26_1946.jpg
[0. 0.],-0.4694557,/euler/indrah/facerisk/wiki_imdb/wiki_crop/02/22468002_1991-09-23_2014.jpg
[0. 0.],0.0643958,/euler/indrah/facerisk/wiki_imdb/wiki_crop/82/37298682_1970-12-13_2009.jpg
[0. 0.],-0.5471844,/euler/indrah/facerisk/wiki_imdb/wiki_crop/63/147063_1948-07-12_2011.jpg
[0. 0.],-2.453725,/euler/indrah/facerisk/wiki_imdb/wiki_crop/08/9859808_1945-11-25_1969.jpg
[0. 0.],-2.753669,/euler/indrah/facerisk/wiki_imdb/wiki_crop/30/30982330_1969-11-17_2010.jpg
[0. 0.],-0.63231474,/euler/indrah/facerisk/wiki_imdb/wiki_crop/74/30274_1962-10-03_2012.jpg
[0. 0.],-2.5522757,/euler/indrah/facerisk/wiki_imdb/wiki_crop/83/10607883_1974-06-14_2010.jpg
[0. 0.],0.123961814,/euler/indrah/facerisk/wiki_imdb/wiki_crop/08/44098808_1938-03-04_1974.jpg
[0. 0.],-0.08623996,/euler/indrah/facerisk/wiki_imdb/wiki_crop/23/35277223_1982-09-27_2012.jpg
[0. 0.],-4.128614,/euler/indrah/facerisk/wiki_imdb/wiki_crop/14/25579014_1993-03-20_2011.jpg
[0. 0.],0.08151622,/euler/indrah/facerisk/wiki_imdb/wiki_crop/14/3089814_1945-06-01_2006.jpg
[0. 0.],-0.30218962,/euler/indrah/facerisk/wiki_imdb/wiki_crop/44/35636344_1996-01-23_2012.jpg
[0. 0.],-0.8271378,/euler/indrah/facerisk/wiki_imdb/wiki_crop/28/296728_1931-12-11_2008.jpg
[0. 0.],-1.9857618,/euler/indrah/facerisk/wiki_imdb/wiki_crop/77/159277_1966-02-25_2015.jpg
[0. 0.],-1.7494689,/euler/indrah/facerisk/wiki_imdb/wiki_crop/63/21079563_1954-09-19_2013.jpg
[0. 0.],0.68345815,/euler/indrah/facerisk/wiki_imdb/wiki_crop/34/13762034_1924-01-20_2011.jpg
[0. 0.],-0.50632733,/euler/indrah/facerisk/wiki_imdb/wiki_crop/34/1192834_1951-10-22_1970.jpg
[0. 0.],-2.8425272,/euler/indrah/facerisk/wiki_imdb/wiki_crop/77/19176677_1981-07-17_2011.jpg
[0. 0.],-3.388869,/euler/indrah/facerisk/wiki_imdb/wiki_crop/92/1776092_1959-01-31_2007.jpg
[0. 0.],-0.66070485,/euler/indrah/facerisk/wiki_imdb/wiki_crop/62/233262_1925-11-27_2014.jpg
[0. 0.],-0.18805952,/euler/indrah/facerisk/wiki_imdb/wiki_crop/56/12276756_1979-02-22_2009.jpg
[0. 0.],-2.351066,/euler/indrah/facerisk/wiki_imdb/wiki_crop/18/24943418_1970-07-25_2014.jpg
[0. 0.],-3.5613499,/euler/indrah/facerisk/wiki_imdb/wiki_crop/83/42635983_1987-06-18_2015.jpg
[0. 0.],-0.47972348,/euler/indrah/facerisk/wiki_imdb/wiki_crop/45/18551845_1983-12-28_2009.jpg
[0. 0.],-3.8637533,/euler/indrah/facerisk/wiki_imdb/wiki_crop/17/19617_1901-12-16_1948.jpg
[0. 0.],-3.6326237,/euler/indrah/facerisk/wiki_imdb/wiki_crop/25/45075725_1993-06-29_2014.jpg
[0. 0.],-2.420089,/euler/indrah/facerisk/wiki_imdb/wiki_crop/26/1690726_1975-07-17_2010.jpg
[0. 0.],0.048229676,/euler/indrah/facerisk/wiki_imdb/wiki_crop/55/1074155_1966-02-28_2014.jpg
